GeneID	Annotation	Class
Tb927.9.1960	nitrilase, putative	Amino.acids
Tb927.7.1910	pyridoxal phosphate containing glycine decarboxylase, putative	Amino.acids
Tb927.8.3130	S-adenosyl-methyltransferase mraW-like protein, putative	Amino.acids
Tb927.11.9590	S-adenosylhomocysteine hydrolase, putative	Amino.acids
Tb927.9.12910	selenocysteine lyase	Amino.acids
Tb927.7.4390	threonine synthase, putative	Amino.acids
Tb927.1.4690	arginine N-methyltransferase (PRMT1)	Arg.methylation
Tb927.10.3560	arginine N-methyltransferase, putative	Arg.methylation
Tb927.5.3960	arginine N-methyltransferase, type I (PRMT6)	Arg.methylation
Tb927.10.640	arginine N-methyltransferase, type II (PRMT5)	Arg.methylation
Tb927.7.5490	arginine N-methyltransferase, type III (PRMT7)	Arg.methylation
Tb927.10.370	calcineurin B subunit, putative	Calcium
Tb927.10.2880	calcium channel protein, putative	Calcium
Tb927.6.2720	calcium-binding protein, putative	Calcium
Tb927.11.13020	calmodulin	Calcium
Tb927.9.11230	calmodulin-like protein, putative,EF hand containing protein	Calcium
Tb927.11.3680	calmodulin, putative	Calcium
Tb927.11.7940	calmodulin, putative	Calcium
Tb927.11.9790	calmodulin, putative	Calcium
Tb927.6.4710	calmodulin, putative	Calcium
Tb927.9.6130	calmodulin, putative	Calcium
Tb927.4.3330	hypothetical protein, conserved, EF hand	Calcium
Tb927.10.6960	hypothetical protein, conserved, EF hand superfamily (E-4)	Calcium
Tb927.11.17000	AIR9	Cell.cycle
Tb927.10.15690	anaphase promoting complex, subunit 10-like protein	Cell.cycle
Tb927.11.8220	AUK1 aurora B kinase	Cell.cycle
Tb927.7.5580	cell cycle associated protein MOB1-B (MOB1B)	Cell.cycle
Tb927.1.1060	Cell cycle checkpoint protein RAD1-like, putative	Cell.cycle
Tb927.7.7360	cell division control protein 2 homolog 2,cdc2-related kinase (CRK2)	Cell.cycle
Tb927.11.2710	cell division cycle 45 (CDC45), putative	Cell.cycle
Tb927.11.12430	cell division cycle phosphatase 14, putative	Cell.cycle
Tb927.6.2150	cell division cycle protein 16, putative	Cell.cycle
Tb927.1.3230	cell division cycle protein, putative	Cell.cycle
Tb927.8.6500	cell division cycle protein, putative	Cell.cycle
Tb927.4.2260	Centrin1	Cell.cycle
Tb927.8.1080	Centrin2	Cell.cycle
Tb927.10.8710	Centrin3	Cell.cycle
Tb927.7.3410	Centrin4 - basal bodies and bilobe	Cell.cycle
Tb927.11.13900	Centrin5	Cell.cycle
Tb927.10.1070	CRK1 cdc2- like protein kinase	Cell.cycle
Tb927.11.12310	CRK12 cdc2- like protein kinase	Cell.cycle
Tb927.10.4990	CRK3 cdc2- like protein kinase	Cell.cycle
Tb927.8.5390	CRK4 cdc2- like protein kinase	Cell.cycle
Tb927.8.6340	CYC2-like cyclin, putative (CYC10)	Cell.cycle
Tb927.8.6350	CYC2-like cyclin, putative (CYC11)	Cell.cycle
Tb927.7.7170	CYC2-like cyclin, putative (CYC4)	Cell.cycle
Tb927.10.11440	CYC2-like cyclin, putative,G1 cyclin CycE4, putative (CYC5)	Cell.cycle
Tb927.11.12610	cyclin 1,serine peptidase family S51, peptidase E, putative	Cell.cycle
Tb927.11.14080	cyclin 2,G1 cyclin (CYC2)	Cell.cycle
Tb927.6.1460	cyclin 3, mitotic cyclin,  (CYC3)	Cell.cycle
Tb927.11.16720	cyclin 6,mitotic cyclin (CYC6)	Cell.cycle
Tb927.6.5020	cyclin 7, putative,CYC2-like cyclin, putative (CYC7)	Cell.cycle
Tb927.11.14030	cyclin 9, CYC9	Cell.cycle
Tb927.11.11500	cyclin dependent kinase-binding protein, putative	Cell.cycle
Tb927.11.16390	cyclin dependent kinases regulatory subunit, putative (CKS1)	Cell.cycle
Tb927.10.6330	KKT1 kinetochore protein	Cell.cycle
Tb927.7.2110	KKT11 Kinetochore protein	Cell.cycle
Tb927.8.1680	KKT12 Kinetochore protein	Cell.cycle
Tb927.7.4860	KKT13 Kinetochore protein	Cell.cycle
Tb927.10.7240	KKT14 Kinetochore protein	Cell.cycle
Tb927.6.3760	KKT15 Kinetochore protein	Cell.cycle
Tb927.11.10000	KKT16 Kinetochore protein	Cell.cycle
Tb927.3.2330	KKT17 Kinetochore protein	Cell.cycle
Tb927.9.3800	KKT18 Kinetochore protein	Cell.cycle
Tb927.11.10520	KKT2 kinetochore protein, tyrosine kinase, putative	Cell.cycle
Tb927.8.3680	KKT4 kinetochore protein	Cell.cycle
Tb927.7.4850	KKT5 Kinetochore protein	Cell.cycle
Tb927.6.1210	KKT6 kinetochore protein	Cell.cycle
Tb927.11.1030	KKT7 Kinetochore protein	Cell.cycle
Tb927.4.5110	KKT8 Kinetochore protein	Cell.cycle
Tb927.8.1150	KKT9 Kinetochore protein	Cell.cycle
Tb927.7.1590	mitotic cyclin,cyclin CycB3 (CYC8)	Cell.cycle
Tb927.11.7216	origin recognition complex subunit 1 (ORC1), (CDC6)	Cell.cycle
Tb927.9.10920	PK6 protein kinase, KKT3 kinetochore protein	Cell.cycle
Tb927.8.4810	prohibitin 1 (PHB1)	Cell.cycle
Tb927.10.4310	prohibitin 2, putative (PHB2)	Cell.cycle
Tb10.v4.0045	prohibitin, putatives	Cell.cycle
Tb927.11.6550	PUF nine target 1 (PNT1)	Cell.cycle
Tb927.10.6240	ras-like small GTPase, putative (TbRHP) spindle formation and mitosis	Cell.cycle
Tb927.7.1190	regulator of chromosome condensation, putative	Cell.cycle
Tb927.7.1210	regulator of chromosome condensation, putative	Cell.cycle
Tb927.3.1750	rev7, putative,mitotic spindle checkpoint component, putative	Cell.cycle
Tb927.4.3420	WEE1 protein kinase	Cell.cycle
Tb927.7.1320	10 kDa heat shock protein, putative (HSP10)	Chaperone
Tb927.2.5980	ATP-dependent Clp protease subunit, heat shock protein 104 (HSP104)	Chaperone
Tb927.2.3030	ATP-dependent Clp protease subunit, heat shock protein 78 (HSP78)	Chaperone
Tb927.10.2290	chaperone protein DNAj, endoplasmatic reticulum	Chaperone
Tb927.9.12730	chaperone protein DNAj, endoplasmatic reticulum	Chaperone
Tb927.1.1230	chaperone protein DNAj, putative	Chaperone
Tb927.1.1960	chaperone protein DNAj, putative	Chaperone
Tb927.1.4300	chaperone protein DNAj, putative	Chaperone
Tb927.10.12380	chaperone protein DNAj, putative	Chaperone
Tb927.10.12530	chaperone protein DNAj, putative	Chaperone
Tb927.10.12640	chaperone protein DNAj, putative	Chaperone
Tb927.10.13830	chaperone protein DNAj, putative	Chaperone
Tb927.10.14730	chaperone protein DNAj, putative	Chaperone
Tb927.10.5040	chaperone protein DNAj, putative	Chaperone
Tb927.10.6610	chaperone protein DNAj, putative	Chaperone
Tb927.10.8540	chaperone protein DNAj, putative	Chaperone
Tb927.10.9840	chaperone protein DNAj, putative	Chaperone
Tb927.11.1010	chaperone protein DNAj, putative	Chaperone
Tb927.11.15130	chaperone protein DNAj, putative	Chaperone
Tb927.11.16740	chaperone protein DNAj, putative	Chaperone
Tb927.11.16980	chaperone protein DNAj, putative	Chaperone
Tb927.11.5220	chaperone protein DNAj, putative	Chaperone
Tb927.11.5710	chaperone protein DNAj, putative	Chaperone
Tb927.2.3960	chaperone protein DNAj, putative	Chaperone
Tb927.2.5160	chaperone protein DNAj, putative	Chaperone
Tb927.3.1430	chaperone protein DNAj, putative	Chaperone
Tb927.3.1760	chaperone protein DNAj, putative	Chaperone
Tb927.3.2290	chaperone protein DNAj, putative	Chaperone
Tb927.4.2970	chaperone protein DNAj, putative	Chaperone
Tb927.4.3980	chaperone protein DNAj, putative	Chaperone
Tb927.4.650	chaperone protein DNAj, putative	Chaperone
Tb927.5.2880	chaperone protein DNAj, putative	Chaperone
Tb927.6.3120	chaperone protein DNAj, putative	Chaperone
Tb927.6.3730	chaperone protein DNAj, putative	Chaperone
Tb927.6.3850	chaperone protein DNAj, putative	Chaperone
Tb927.7.4590	chaperone protein DNAj, putative	Chaperone
Tb927.7.540	chaperone protein DNAj, putative	Chaperone
Tb927.7.6200	chaperone protein DNAj, putative	Chaperone
Tb927.7.6660	chaperone protein DNAj, putative	Chaperone
Tb927.7.680	chaperone protein DNAj, putative	Chaperone
Tb927.7.740	chaperone protein DNAj, putative	Chaperone
Tb927.7.990	chaperone protein DNAj, putative	Chaperone
Tb927.8.1010	chaperone protein DNAj, putative	Chaperone
Tb927.8.1030	chaperone protein DNAj, putative	Chaperone
Tb927.8.4470	chaperone protein DNAj, putative	Chaperone
Tb927.8.7010	chaperone protein DNAj, putative	Chaperone
Tb927.8.8310	chaperone protein DNAj, putative	Chaperone
Tb927.9.10950	chaperone protein DNAj, putative	Chaperone
Tb927.9.14180	chaperone protein DNAj, putative	Chaperone
Tb927.9.8160	chaperone protein DNAj, putative	Chaperone
Tb927.9.8410	chaperone protein DNAj, putative	Chaperone
Tb927.6.2170	co-chaperone GrpE, putative	Chaperone
Tb927.1.1720	cyclophilin 15, putative	Chaperone
Tb927.11.880	cyclophilin a,cyclophilin type peptidyl-prolyl cis-trans isomerase (CYPA)	Chaperone
Tb927.10.13220	cyclophilin type peptidyl-prolyl cis-trans isomerase, putative (PPIase)	Chaperone
Tb927.2.1560	cyclophilin type peptidyl-prolyl cis-trans isomerase, putative (PPIase)	Chaperone
Tb927.9.11740	cyclophilin type peptidyl-prolyl cis-trans isomerase, putative (PPIase)	Chaperone
Tb927.9.14420	cyclophilin type peptidyl-prolyl cis-trans isomerase, putative (PPIase)	Chaperone
Tb927.9.3440	cyclophilin type peptidyl-prolyl cis-trans isomerase, putative (PPIase)	Chaperone
Tb927.5.1370	cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative (PPIase)	Chaperone
Tb927.7.280	cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative (PPIase)	Chaperone
Tb927.7.4770	cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative (PPIase)	Chaperone
Tb927.8.5230	cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative (PPIase)	Chaperone
Tb927.8.6910	cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative (PPIase)	Chaperone
Tb927.8.2000	cyclophilin, putative (NCP1) (in PUF7-TAP)	Chaperone
Tb927.5.1020	disulfide isomerase, putative	Chaperone
Tb927.10.16100	FK506-binding protein (FKBP)-type peptidyl-prolyl isomerase	Chaperone
Tb927.10.15590	FKBP-type peptidyl-prolyl cis-trans isomerase, conserved	Chaperone
Tb927.10.15600	FKBP-type peptidyl-prolyl cis-trans isomerase, conserved	Chaperone
Tb927.9.9860	GRP170, HSP70 and actin-like ATPase domains	Chaperone
Tb927.7.710	heat shock 70 kDa protein, putative (HSP70.4)	Chaperone
Tb927.7.1030	heat shock 70 kDa protein, putative (HSP70b)	Chaperone
Tb927.3.3330	heat shock protein 20, putative	Chaperone
Tb927.11.11330	heat shock protein 70, major HSP70	Chaperone
Tb927.10.10980	heat shock protein 83, HSP83	Chaperone
Tb927.11.2650	heat shock protein 84, putative, mit HSp90	Chaperone
Tb927.7.2070	heat shock protein DNAJ, putative	Chaperone
Tb927.5.1520	heat shock protein HslU1, in mitochondrion	Chaperone
Tb927.11.12230	heat shock protein HslU2, in mitochondrion	Chaperone
Tb927.10.12710	heat shock protein, HSP110	Chaperone
Tb927.10.5660	heat shock protein, putative	Chaperone
Tb927.3.5340	Hsc70-interacting protein (Hip), putative	Chaperone
Tb927.10.2620	HSP20 cold-shock domain (p23-like)	Chaperone
Tb927.11.16050	HSP20 domain	Chaperone
Tb927.9.13290	HSP20 domain	Chaperone
Tb927.9.10230	HSP20 domain (p23-like)	Chaperone
Tb927.9.4500	HSP70, endoplasmatic reticulum, HSP70.a	Chaperone
Tb927.10.14740	hypothetical protein, conserved, DnaJ domain	Chaperone
Tb927.11.15480	hypothetical, HSP20-like chaperone	Chaperone
Tb927.10.9420	mitochondrial chaperone BCS1, putative	Chaperone
Tb927.8.3580	mitochondrial chaperone BCS1, putative	Chaperone
Tb927.9.9780	peptidyl-prolyl cis-trans isomerase (cyclophilin- 40), putative	Chaperone
Tb927.3.3100	peptidyl-prolyl cis-trans isomerase NIMA-interacting 4, putative	Chaperone
Tb927.7.2480	peptidyl-prolyl cis-trans isomerase, putative (PAR45)	Chaperone
Tb927.10.4620	peptidyl-prolyl cis-trans isomerase, putative (PPIase)	Chaperone
Tb927.8.690	peptidyl-prolyl cis-trans isomerase/rotamase, putative,PPIase, putative (PIN1)	Chaperone
Tb927.5.580	prefoldin subunit, putative	Chaperone
Tb927.7.2590	prefoldin, putative	Chaperone
Tb927.7.570	prefoldin, putative	Chaperone
Tb927.7.5790	protein disulfide isomerase, ERp44-like	Chaperone
Tb927.10.8230	protein disulfide isomerase,ERp57-like, cofactor wth calnexin, putative	Chaperone
Tb927.7.1300	protein disulfide isomerase,ERp72-like, cofactor wth calnexin, putative	Chaperone
Tb927.1.3200	SGT1-like protein, putative	Chaperone
Tb927.5.2940	stress-induced protein sti1, putative	Chaperone
Tb927.10.4450	stress-inducible protein STI1-like, putative	Chaperone
Tb927.10.5180	TPR-repeat-containing chaperone protein DNAJ, putative	Chaperone
Tb927.4.2220	TPR-repeat-containing chaperone protein DNAJ, putative	Chaperone
Tb927.4.880	TPR-repeat-containing chaperone protein DNAJ, putative	Chaperone
Tb927.7.3630	TPR-repeat-containing chaperone protein DNAJ, putative	Chaperone
Tb927.10.4900	TPR-repeat-containing chaperone protein DNAJ, putative,TPR repeat protein	Chaperone
Tb927.8.5890	Anti-silencing function ASF1B	Chromatin
Tb927.1.630	anti-silencing protein ASF1A	Chromatin
Tb927.10.7420	bromodomain factor 2 BDF2	Chromatin
Tb927.10.7050	chromatin assembly factor 1 subunit B, putative	Chromatin
Tb927.10.7510	chromatin binding protein, putative	Chromatin
Tb927.9.4900	condensin subunit 1, putative	Chromatin
Tb927.6.4820	CPC1, chromosomal passenger complex	Chromatin
Tb927.11.14840	CPC2, chromosomal passenger complex	Chromatin
Tb927.8.1920	DOT1A	Chromatin
Tb927.8.5770	Elongator-like Protein 3a ELP3a	Chromatin
Tb927.3.3490	high mobility group protein, putative (TDP1)	Chromatin
Tb927.7.4560	histone acetyltransferase HAT1	Chromatin
Tb927.11.11530	histone acetyltransferase HAT2	Chromatin
Tb927.10.8310	Histone acetyltransferase HAT3	Chromatin
Tb927.10.1680	histone deacetylase 1 (DAC1 or HDAC1)	Chromatin
Tb927.11.15600	histone deacetylase 2 (DAC2 or HDAC2)	Chromatin
Tb927.2.2190	histone deacetylase 3 (DAC3 or HDAC3)	Chromatin
Tb927.5.2900	histone deacetylase 4 (DAC4 HDAC4)	Chromatin
Tb927.7.2820	histone H2A	Chromatin
Tb927.7.6360	histone H2A variant (h2aZ)	Chromatin
Tb927.11.7350	histone H2B variant (H2BVAR)	Chromatin
Tb927.1.2430	histone H3	Chromatin
Tb927.10.15350	histone H3 variant (h3vaR)	Chromatin
Tb927.5.4170	histone H4	Chromatin
Tb927.1.570	Histone-lysine N-methyltransferase,  (DOT1B)	Chromatin
Tb927.11.13640	J-binding protein (JBP1)	Chromatin
Tb927.9.5730	nucleosome assembly protein-like protein	Chromatin
Tb927.10.15180	nucleosome assembly protein, putative	Chromatin
Tb927.10.1440	Pob3	Chromatin
Tb927.9.10100	Possible histone methyltransferase: 7 SET domains.	Chromatin
Tb927.10.8150	Bromodomain protein BDF1	Chromatin
Tb927.11.6780	regulator of chromatin condensation, putative (RCC1)	Chromatin
Tb927.11.370	repressor activator protein 1 (RAP1)	Chromatin
Tb927.7.1690	silent information regulator 2 (SIR2RP1)	Chromatin
Tb927.9.11850	structural maintenance of chromosome 1 (SMC1)	Chromatin
Tb927.10.10340	structural maintenance of chromosome 2 (SMC2)	Chromatin
Tb927.5.3510	structural maintenance of chromosome 3 (SMC3)	Chromatin
Tb927.10.740	structural maintenance of chromosome 4 (SMC4)	Chromatin
Tb927.2.1810	transcription silencer (ISWI)	Chromatin
Tb927.11.1450	2-oxoglutarate dehydrogenase E1 component, putative	Citric.acid.cycle
Tb927.11.9980	2-oxoglutarate dehydrogenase E1 component, putative	Citric.acid.cycle
Tb927.11.11680	2-oxoglutarate dehydrogenase E2 component, putative	Citric.acid.cycle
Tb927.10.14000	aconitase (ACO)	Citric.acid.cycle
Tb927.10.13430	citrate synthase, putative	Citric.acid.cycle
Tb927.11.16730	dihydrolipoyl dehydrogenase (GCVL-2)	Citric.acid.cycle
Tb927.3.4500	fumarate hydratase, class I (FHc)	Citric.acid.cycle
Tb927.11.5050	fumarate hydratase, class I (FHm)	Citric.acid.cycle
Tb927.9.5900	glutamate dehydrogenase (GDH)	Citric.acid.cycle
Tb927.8.3690	isocitrate dehydrogenase [NADP], mitochondrial precursor, putative (IDH)	Citric.acid.cycle
Tb927.11.900	isocitrate dehydrogenase, putative (IDH)	Citric.acid.cycle
Tb927.10.2560	mitochondrial malate dehydrogenase (mMDH)	Citric.acid.cycle
Tb927.10.3650	NADH-dependent fumarate reductase, putative	Citric.acid.cycle
Tb927.11.4780	pyruvate dehydrogenase (lipoamide) kinase, putative	Citric.acid.cycle
Tb927.10.2350	pyruvate dehydrogenase complex E3 binding protein, putative	Citric.acid.cycle
Tb927.10.12700	pyruvate dehydrogenase E1 alpha subunit, putative	Citric.acid.cycle
Tb927.3.1790	pyruvate dehydrogenase E1 beta subunit, putative	Citric.acid.cycle
Tb927.10.7410	succinyl-CoA ligase [GDP-forming] beta-chain, putative	Citric.acid.cycle
Tb927.3.2230	succinyl-CoA synthetase alpha subunit, putative	Citric.acid.cycle
Tb927.11.2690	succinyl-coA:3-ketoacid-coenzyme A transferase, mitochondrial precursor, putative	Citric.acid.cycle
Tb927.10.11800	33 kDa inner dynein arm light chain, axonemal, putative,dynein light chain, putative	Cytoskeleton
Tb927.9.8850	actin A	Cytoskeleton
Tb927.10.15800	actin related protein 2, putative	Cytoskeleton
Tb927.9.5350	actin related protein 3, putative	Cytoskeleton
Tb927.10.2000	actin-like protein, putative	Cytoskeleton
Tb927.11.10110	actin-like protein, putative	Cytoskeleton
Tb927.3.3020	actin-like protein, putative	Cytoskeleton
Tb927.4.980	actin, putative	Cytoskeleton
Tb927.9.5440	actin, putative	Cytoskeleton
Tb927.11.3880	actin, putative (TRYPARP)	Cytoskeleton
Tb927.1.2340	alpha tubulin	Cytoskeleton
Tb927.3.1400	alpha-tubulin N-acetyltransferase, putative	Cytoskeleton
Tb927.11.12360	ankyrin repeat protein, putative	Cytoskeleton
Tb927.9.13100	ankyrin repeat protein, putative	Cytoskeleton
Tb927.4.1170	ankyrin, putative	Cytoskeleton
Tb927.10.10600	ARP2/3 complex 16kDa subunit, putative	Cytoskeleton
Tb927.10.13190	ARP2/3 complex subunit, putative	Cytoskeleton
Tb927.10.4540	ARP2/3 complex subunit, putative	Cytoskeleton
Tb927.2.2900	ARP2/3 complex subunit, putative	Cytoskeleton
Tb927.8.4410	ARP2/3 complex subunit, putative	Cytoskeleton
Tb927.9.10670	Bardet-Biedl syndrome 1 protein homolog (BBS1-like protein 1), putative	Cytoskeleton
Tb927.10.6830	Bardet-Biedl syndrome 4 protein homolog (BBS4-like protein 4), putative	Cytoskeleton
Tb927.8.6070	basal body component,ML protein (TBBC)	Cytoskeleton
Tb927.4.3440	BB50	Cytoskeleton
Tb927.1.2330	beta tubulin	Cytoskeleton
Tb927.10.14890	C-terminal motor kinesin KIFC1	Cytoskeleton
Tb927.11.9110	C-terminal motor kinesin, Kinesin-14B	Cytoskeleton
Tb927.10.4170	CAP292 Clathrin-associated protein, resembles yeast myosins, homologue of centrosome-associated protein CEP250	Cytoskeleton
Tb927.4.2080	CC2D is a FAZ-ER protein, also present on the basal bodies. CC2D is required for FAZ filament assembly. 	Cytoskeleton
Tb927.10.16110	CMF1, possible component of motile flagella	Cytoskeleton
Tb927.7.2790	CMF10, possible component of motile flagella	Cytoskeleton
Tb927.10.9870	CMF12, possible component of motile flagella	Cytoskeleton
Tb927.10.10090	CMF14, possible component of motile flagella, TbTBC-L	Cytoskeleton
Tb927.11.7560	CMF15, T. brucei components of motile flagella (TbCMF15)	Cytoskeleton
Tb927.11.1430	CMF2, T. brucei components of motile flagella (TbCMF2)	Cytoskeleton
Tb927.5.2950	CMF3, T. brucei components of motile flagella (TbCMF3)	Cytoskeleton
Tb927.3.4230	CMF33 subtilisin-like serine peptidase	Cytoskeleton
Tb927.10.7690	CMF4, T. brucei components of motile flagella (TbCMF4)	Cytoskeleton
Tb927.2.4810	CMF5, T. brucei components of motile flagella (TbCMF5)	Cytoskeleton
Tb927.10.3310	CMF76b, possible component of motile flagella	Cytoskeleton
Tb927.11.10900	CMF9, MENG,flagellar component	Cytoskeleton
Tb927.3.5180	cofilin/actin depolymerizing factor, putative	Cytoskeleton
Tb927.8.3100	coronin (CRN12)	Cytoskeleton
Tb927.4.560	Cytoplasmic dynein 2 heavy chain (DYNC2H1), putative	Cytoskeleton
Tb927.11.10930	delta tubulin,tubulin delta chain (TUBD1)	Cytoskeleton
Tb927.8.4870	DIGIT, flagellar component	Cytoskeleton
Tb927.10.1130	dynein arm light chain, axonemal, putative	Cytoskeleton
Tb927.7.820	dynein arm light chain, axonemal, putative	Cytoskeleton
Tb927.11.11220	dynein heavy chain	Cytoskeleton
Tb927.11.3250	dynein heavy chain	Cytoskeleton
Tb927.11.8160	dynein heavy chain	Cytoskeleton
Tb927.11.2430	dynein heavy chain DHC1b or DYNC2H2, cytoplasmic type	Cytoskeleton
Tb927.4.870	dynein heavy chain DNAH10  IAD-1alpha inner arm dynein heavy chain	Cytoskeleton
Tb927.8.7840	dynein heavy chain, putative, not a DHC in Wickstead analysis	Cytoskeleton
Tb927.2.4060	dynein intermediate chain IC 138	Cytoskeleton
Tb927.11.2270	dynein intermediate chain IC140 (IDA7)	Cytoskeleton
Tb927.11.14300	dynein intermediate chain IC70, putative	Cytoskeleton
Tb927.11.5000	dynein intermediate chain IC78, putative	Cytoskeleton
Tb927.11.5510	dynein light chain p28, axonemal, putative	Cytoskeleton
Tb927.10.15580	dynein light chain, putative	Cytoskeleton
Tb927.10.4690	dynein light chain, putative	Cytoskeleton
Tb927.10.6670	dynein light chain, putative	Cytoskeleton
Tb927.11.5680	dynein light chain, putative	Cytoskeleton
Tb927.5.4440	dynein light chain, putative	Cytoskeleton
Tb927.10.13110	dynein light chain, putative,dynein light chain 2B, redicted dynein modulator,roadblock/LC7 family member	Cytoskeleton
Tb927.10.10320	dynein light chain, putative,dynein Tctex1 family, putative	Cytoskeleton
Tb927.10.13370	dynein light chain, putative,dynein Tctex1 family, putative	Cytoskeleton
Tb927.11.3660	dynein light chain, putative,dynein Tctex1 family, putative	Cytoskeleton
Tb927.11.7740	dynein light chain, putative,dynein Tctex2 family, putative	Cytoskeleton
Tb927.9.12820	dynein light chain, putative,dynein Tctex2 family, putative	Cytoskeleton
Tb927.11.16810	dynein light intermediate chain D1bLIC, putative	Cytoskeleton
Tb927.11.7240	dynein regulatory complex subunit CMF70	Cytoskeleton
Tb927.9.14480	dynein-associated protein, putative	Cytoskeleton
Tb927.10.5960	engulfment and cell motility domain 2, putative	Cytoskeleton
Tb927.10.1140	epsilon tubulin (TUBE1)	Cytoskeleton
Tb927.11.670	epsinR	Cytoskeleton
Tb927.3.5540	FAP133, Component of the IFT dynein motor	Cytoskeleton
Tb927.1.1340	FG-GAP repeat protein, putative,intergrin alpha chain protein, putative	Cytoskeleton
Tb927.11.11720	FG-GAP repeat protein, putative,intergrin alpha chain protein, putative	Cytoskeleton
Tb927.11.16110	FG-GAP repeat protein, putative,intergrin alpha chain protein, putative	Cytoskeleton
Tb927.3.3640	FG-GAP repeat protein, putative,intergrin alpha chain protein, putative	Cytoskeleton
Tb927.6.2020	FG-GAP repeat protein, putative,intergrin alpha chain protein, putative	Cytoskeleton
Tb927.7.6460	FG-GAP repeat protein, putative,intergrin alpha chain protein, putative	Cytoskeleton
Tb927.11.2410	Flabarin, flagellar membrane protein in Leishmania	Cytoskeleton
Tb927.3.2310	flagellar component,PACRGA	Cytoskeleton
Tb927.8.4050	flagellar membrane protein that interacts with FLA1, similar to FLA3	Cytoskeleton
Tb927.11.12150	flagellar protein essential for flagellar pocket biogenesis (BILBO1)	Cytoskeleton
Tb927.1.2670	flagellar protein PF16	Cytoskeleton
