GeneID	Annotation	Class	TranscriptLength
NCDS.Tb927.9.9115	hypothetical protein	ZUnknown	NA
NTCDS.Tb1.NT.21	hypothetical protein	ZUnknown	NA
NTCDS.Tb1.NT.22	hypothetical protein, conserved	ZUnknown	NA
NTCDS.Tb10.NT.100	hypothetical protein	ZUnknown	NA
NTCDS.Tb10.NT.105	hypothetical protein	ZUnknown	NA
NTCDS.Tb10.NT.107	hypothetical protein	ZUnknown	NA
NTCDS.Tb10.NT.110	hypothetical protein	ZUnknown	NA
NTCDS.Tb10.NT.13	hypothetical protein, conserved	ZUnknown	NA
NTCDS.Tb10.NT.144	hypothetical protein, unlikely	ZUnknown	NA
NTCDS.Tb10.NT.79	unspecified product	ZUnknown	NA
NTCDS.Tb10.NT.86	hypothetical protein, conserved	ZUnknown	NA
NTCDS.Tb10.NT.87	hypothetical protein, unlikely	ZUnknown	NA
NTCDS.Tb10.NT.90	hypothetical protein	ZUnknown	NA
NTCDS.Tb10.NT.94	hypothetical protein	ZUnknown	NA
NTCDS.Tb10.NT.96	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.10	hypothetical protein, conserved	ZUnknown	NA
NTCDS.Tb11.NT.100	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.101	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.103	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.108	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.109	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.110	hypothetical protein, unlikely	ZUnknown	NA
NTCDS.Tb11.NT.112	hypothetical protein, unlikely	ZUnknown	NA
NTCDS.Tb11.NT.119	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.125	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.126	hypothetical protein, unlikely	ZUnknown	NA
NTCDS.Tb11.NT.128	hypothetical protein, conserved	ZUnknown	NA
NTCDS.Tb11.NT.131	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.133	Dynein light chain LC6, flagellar outer arm, putative	Cytoskeleton	NA
NTCDS.Tb11.NT.145	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.147	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.170	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.177	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.181	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.183	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.186	hypothetical protein, conserved	ZUnknown	NA
NTCDS.Tb11.NT.189	hypothetical protein, unknown function	ZUnknown	NA
NTCDS.Tb11.NT.191	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.196	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.2	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.211	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.212	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.220	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.28	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.29	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.3	hypothetical protein, conserved	ZUnknown	NA
NTCDS.Tb11.NT.32	hypothetical protein, unlikely	ZUnknown	NA
NTCDS.Tb11.NT.47	DNA-directed RNA polymerase subunit, putative 	RNA.synthesis	NA
NTCDS.Tb11.NT.5	hypothetical protein, unlikely	ZUnknown	NA
NTCDS.Tb11.NT.6	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.66	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.69	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.7	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.83	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.88	hypothetical protein	ZUnknown	NA
NTCDS.Tb11.NT.95	hypothetical protein, conserved	ZUnknown	NA
NTCDS.Tb2.NT.10	hypothetical protein	ZUnknown	NA
NTCDS.Tb2.NT.23	hypothetical protein	ZUnknown	NA
NTCDS.Tb2.NT.46	hypothetical protein	ZUnknown	NA
NTCDS.Tb2.NT.48	hypothetical protein	ZUnknown	NA
NTCDS.Tb3.NT.15	hypothetical protein, unlikely	ZUnknown	NA
NTCDS.Tb3.NT.18	hypothetical protein	ZUnknown	NA
NTCDS.Tb3.NT.2	hypothetical protein	ZUnknown	NA
NTCDS.Tb3.NT.22	hypothetical protein, unlikely	ZUnknown	NA
NTCDS.Tb3.NT.27	hypothetical protein, unlikely	ZUnknown	NA
NTCDS.Tb3.NT.28	hypothetical protein, conserved	ZUnknown	NA
NTCDS.Tb3.NT.49	hypothetical protein	ZUnknown	NA
NTCDS.Tb4.NT.20	hypothetical protein, conserved	ZUnknown	NA
NTCDS.Tb4.NT.23	hypothetical protein	ZUnknown	NA
NTCDS.Tb4.NT.52	T. brucei spp.-specific protein	ZUnknown	NA
NTCDS.Tb5.NT.58	hypothetical protein	ZUnknown	NA
NTCDS.Tb5.NT.82	hypothetical protein, conserved	ZUnknown	NA
NTCDS.Tb5.NT.83	hypothetical protein	ZUnknown	NA
NTCDS.Tb5.NT.87	hypothetical protein	ZUnknown	NA
NTCDS.Tb5.NT.92	hypothetical protein	ZUnknown	NA
NTCDS.Tb6.NT.67	hypothetical protein	ZUnknown	NA
NTCDS.Tb6.NT.77	hypothetical protein	ZUnknown	NA
NTCDS.Tb7.NT.100	hypothetical protein	ZUnknown	NA
NTCDS.Tb7.NT.113	hypothetical protein	ZUnknown	NA
NTCDS.Tb7.NT.37	hypothetical protein	ZUnknown	NA
NTCDS.Tb7.NT.4	hypothetical protein	ZUnknown	NA
NTCDS.Tb7.NT.55	hypothetical protein	ZUnknown	NA
NTCDS.Tb7.NT.6	hypothetical protein	ZUnknown	NA
NTCDS.Tb7.NT.63	hypothetical protein, unlikely	ZUnknown	NA
NTCDS.Tb7.NT.66	T. brucei spp.-specific protein	ZUnknown	NA
NTCDS.Tb7.NT.82	unspecified product	ZUnknown	NA
NTCDS.Tb8.NT.19	hypothetical protein	ZUnknown	NA
NTCDS.Tb8.NT.32	hypothetical protein	ZUnknown	NA
NTCDS.Tb8.NT.37	T. brucei spp.-specific protein	ZUnknown	NA
NTCDS.Tb8.NT.39	hypothetical protein	ZUnknown	NA
NTCDS.Tb8.NT.60	hypothetical protein	ZUnknown	NA
NTCDS.Tb8.NT.7	hypothetical protein	ZUnknown	NA
NTCDS.Tb8.NT.71	hypothetical protein	ZUnknown	NA
NTCDS.Tb8.NT.74	hypothetical protein	ZUnknown	NA
NTCDS.Tb8.NT.79	hypothetical protein, unlikely	ZUnknown	NA
NTCDS.Tb9.NT.3	hypothetical protein	ZUnknown	NA
NTCDS.Tb9.NT.40	hypothetical protein	ZUnknown	NA
NTCDS.Tb9.NT.44	hypothetical protein	ZUnknown	NA
NTCDS.Tb9.NT.51	hypothetical protein	ZUnknown	NA
NTCDS.Tb9.NT.52	hypothetical protein	ZUnknown	NA
NTCDS.Tb9.NT.56	hypothetical protein	ZUnknown	NA
NTCDS.Tb9.NT.7	hypothetical protein	ZUnknown	NA
NTCDS.Tb9.NT.72	hypothetical protein, conserved	ZUnknown	NA
Tb05.30F7.410	hypothetical protein	ZUnknown	510
Tb05.5K5.130	paraflagellar rod protein par4, putative	Cytoskeleton	1770
Tb06.3A7.270	hypothetical protein, conserved	ZUnknown	3408
Tb06.3A7.960	hypothetical protein	ZUnknown	933
Tb07.26A24.210	hypothetical protein	ZUnknown	453
Tb10.v4.0033	pumillo RNA binding protein PUF1,chrX additional, unordered contigs (PUF1)	RNA.binding	NA
Tb10.v4.0045	prohibitin, putatives	Cell.cycle	1288
Tb11.02.5105	POMP15	Mito.membrane	729
Tb11.02.5360	hypothetical protein, conserved	ZUnknown	1629
Tb11.02.5370	hypothetical protein, conserved	ZUnknown	1404
Tb11.02.5380	RRP44	RNA.degradation	2919
Tb11.02.5390	mRNA processing protein, putative	Mito.RNA	3292
Tb11.02.5400	cystathionine beta-synthase, putative	Amino.acids	2070
Tb11.02.5410	SUMO activating enzyme AOS1	Ubiquitin.proteasome	1254
Tb11.02.5430	hypothetical protein, conserved	ZUnknown	1413
Tb11.02.5440	hypothetical protein, conserved	ZUnknown	1998
Tb927.1.10	hypothetical protein	ZUnknown	333
Tb927.1.1000	developmentally regulated phosphoprotein (dr6)	Mito.pathway	1278
Tb927.1.1010	E3 ubiquitin-protein ligase KCMF1, putative	Ubiquitin.proteasome	2180
Tb927.1.1020	leucine-rich repeat-containing protein	LRRP	2069
Tb927.1.1030	leucine-rich repeat protein (LRRP)	LRRP	2328
Tb927.1.1040	hypothetical protein, conserved	ZUnknown	624
Tb927.1.1050	Metallo-dependent phosphatase-like domain-containing protein	Enzyme	3377
Tb927.1.1060	Cell cycle checkpoint protein RAD1-like, putative	Cell.cycle	985
Tb927.1.1080	TFIIH basal transcription factor subunit (TSP1)	RNA.synthesis	1529
Tb927.1.110	hypothetical protein, conserved	ZUnknown	327
Tb927.1.1100	BBP109	Cytoskeleton	4086
Tb927.1.1120	Ribosomal RNA-processing protein 8, putative (RRP8)	rRNA.tRNA.process	1423
Tb927.1.1130	glycerol-3-phosphate dehydrogenase (FAD-dependent), in TAO complex	Glucose.glycerol	1906
Tb927.1.1140	Transmembrane protein 231, putative	ZUnknown	1344
Tb927.1.1150	zeta tubulin	Cytoskeleton	1602
Tb927.1.1160	PPR3	Mito.translation	1604
Tb927.1.1170	DNA-directed RNA polymerase subunit RBP12, putative (RBP12)	RNA.synthesis	487
Tb927.1.1200	Mitchondrial SSU ribosomal protein	Mito.translation	2337
Tb927.1.1210	conserved protein, unknown function	ZUnknown	1020
Tb927.1.1220	RWD domain-containing protein	ZUnknown	988
Tb927.1.1230	chaperone protein DNAj, putative	Chaperone	2214
Tb927.1.1240	CTP synthase	Nucleotides	1828
Tb927.1.1270	homocysteine S-methyltransferase, putative	Amino.acids	1307
Tb927.1.1300	hypothetical transmembrane protein, conserved	ZUnknown	961
Tb927.1.1310	transmembrane protein, conserved	ZUnknown	1336
Tb927.1.1330	Mitochondrial Editosome-like Complex TUTase (MEAT1)	Mito.RNA	1474
Tb927.1.1340	FG-GAP repeat protein, putative,intergrin alpha chain protein, putative	Cytoskeleton	2229
Tb927.1.1350	kinesin heavy chain, Kinesin-1	Cytoskeleton	2661
Tb927.1.1370	rRNA biogenesis protein, putative	rRNA.tRNA.process	2127
Tb927.1.1380	serine/threonine protein phosphatase 2A regulatory subunit, putative	Protein.kinase	4116
Tb927.1.1390	hypothetical protein, conserved	ZUnknown	1153
Tb927.1.1400	Overproducer of inositol protein 10 homolog, putative	ZUnknown	769
Tb927.1.1420	conserved protein, unknown function	ZUnknown	2757
Tb927.1.1470	conserved protein, unknown function	ZUnknown	1758
Tb927.1.1500	conserved protein, unknown function	ZUnknown	2584
Tb927.1.1530	protein kinase, putative	Protein.kinase	9634
Tb927.1.1540	Tubulin/FtsZ family, putative	Cytoskeleton	2270
Tb927.1.1550	tubulin-tyrosine ligase, putative	Cytoskeleton	2470
Tb927.1.1560	vesicular-fusion protein nsf, putative,N-ethylmaleimide sensitive factor (NsF)	Vesicular.transport	3547
Tb927.1.1580	cytochrome c oxidase assembly factor, SCO1/2, putative	Mito.e.transport	927
Tb927.1.1600	pseudouridine synthase TruD, putative	rRNA.tRNA.process	4887
Tb927.1.1610	hypothetical protein, conserved	Mito.pathway	1671
Tb927.1.1620	ATP-dependent DEAD/H RNA helicase, putative, no clear yeast homologue	RNA.helicase	2715
Tb927.1.1630	transcription elongation factor 1 homolog (ELOF1)	RNA.synthesis	584
Tb927.1.1640	hypothetical protein, conserved	ZUnknown	1109
Tb927.1.1660	ESCO acetyltransferase domain-containing protein	ZUnknown	998
Tb927.1.1670	ARM-like helical domain-containing protein	ZUnknown	4503
Tb927.1.1680	Transcription elongation factor 1 domain-containing protein	RNA.synthesis	1118
Tb927.1.1690	RNA editing endoribonuclease (KREN1)	Mito.RNA	2897
Tb927.1.1700	AATF protein, putative	ZUnknown	1551
Tb927.1.1710	transmembrane protein, conserved	ZUnknown	5996
Tb927.1.1720	cyclophilin 15, putative	Chaperone	1238
Tb927.1.1730	conserved protein, unknown function	Mito.pathway	2236
Tb927.1.1750	conserved protein, unknown function	ZUnknown	1457
Tb927.1.1760	hypothetical transmembrane protein	ZUnknown	441
Tb927.1.1770	glutaredoxin GRX2	Redox	324
Tb927.1.1790	hypothetical PIN domain-containing protein, conserved	RNA.processing	823
Tb927.1.1820	hypothetical PIN domain-containing protein	RNA.processing	1340
Tb927.1.1840	conserved protein, unknown function	ZUnknown	4632
Tb927.1.1850	hypothetical protein, conserved	ZUnknown	2148
Tb927.1.1880	WD40 repeat-containing protein	ZUnknown	4332
Tb927.1.1890	Replication Factor C Subunit 1-related protein	DNA	4029
Tb927.1.1910	MORN repeat-containing protein	Cytoskeleton	4057
Tb927.1.1920	conserved protein, unknown function	ZUnknown	2678
Tb927.1.1930	TOR4 protein kinase = TOR-like 2	Protein.kinase	10562
Tb927.1.1960	chaperone protein DNAj, putative	Chaperone	2138
Tb927.1.1980	Protein transport protein yif1, putative	Vesicular.transport	1204
Tb927.1.1990	Pre-mRNA-splicing factor 38, putative	RNA.processing	667
Tb927.1.2100	calpain-like cysteine peptidase, putative,cysteine peptidase, Clan CA, family C2, putative	Protease	4062
Tb927.1.2110	calpain-like cysteine peptidase, putative,cysteine peptidase, Clan CA, family C2, putative	Protease	2332
Tb927.1.2120	calpain, putative,cysteine peptidase, Clan CA, family C2, putative	Protease	2553
Tb927.1.2150	calpain-like protein fragment, putative,calpain-like cysteine peptidase, Clan CA, family C2	Protease	2333
Tb927.1.2160	calpain-like protein fragment, putative	Protease	602
Tb927.1.2190	RAPTOR-like (TOR complexes)	Signalling	6320
Tb927.1.2200	ZC3H4	RNA.binding	438
Tb927.1.2210	nucleosome assembly protein (NAP), putative	ZUnknown	1137
Tb927.1.2310	hypothetical protein	ZUnknown	680
Tb927.1.2320	hypothetical protein, conserved	ZUnknown	1624
Tb927.1.2330	beta tubulin	Cytoskeleton	1755
Tb927.1.2340	alpha tubulin	Cytoskeleton	1580
Tb927.1.2420	hypothetical protein	ZUnknown	1012
Tb927.1.2430	histone H3	Chromatin	568
Tb927.1.2570	coatomer beta subunit (beta-coP)	Vesicular.transport	3720
Tb927.1.2580	EAP1 exosome complex PH subunit	RNA.degradation	1469
Tb927.1.2600	PUF9	RNA.binding	3046
Tb927.1.2640	hypothetical protein, conserved	ZUnknown	1340
Tb927.1.2670	flagellar protein PF16	Cytoskeleton	1954
Tb927.1.2700	hypothetical protein, conserved	ZUnknown	1489
Tb927.1.2710	hypothetical protein, conserved	ZUnknown	2681
Tb927.1.2730	hypothetical protein, conserved	ZUnknown	1065
Tb927.1.2740	lipase-like protein, putative	Lipids	1951
Tb927.1.2750	hypothetical protein, conserved	ZUnknown	678
Tb927.1.2760	hypothetical protein	ZUnknown	522
Tb927.1.2770	hypothetical protein, conserved	ZUnknown	1485
Tb927.1.2820	pteridine transporter, putative	Transporter	2553
Tb927.1.2970	hypothetical protein, conserved	ZUnknown	769
Tb927.1.2980	hypothetical protein, conserved	ZUnknown	5065
Tb927.1.2985	ER protein Pkr1, putative	ZUnknown	605
Tb927.1.2990	PPR2	Mito.translation	3175
Tb927.1.30	hypothetical protein	ZUnknown	708
Tb927.1.3000	amidohydrolase, putative	Amino.acids	1643
Tb927.1.3010	mRNA processing protein, putative	Mito.RNA	1182
Tb927.1.3030	KREL2	Mito.RNA	1366
Tb927.1.3040	hypothetical protein, conserved	ZUnknown	1061
Tb927.1.3050	tRNA (Uracil-5-)-methyltransferase, putative	ZUnknown	1947
Tb927.1.3070	hypothetical protein, conserved, poly(Q), poly(H)	ZUnknown	1345
Tb927.1.3110	soluble N-ethylmaleimide sensitive factor (NSF) attachment protein, putative	Vesicular.transport	1398
Tb927.1.3120	separase, putative,cysteine peptidase, Clan CD, family C50, putative	DNA	3489
Tb927.1.3130	protein kinase, putative	Protein.kinase	1624
Tb927.1.3150	hypothetical protein, conserved	ZUnknown	1535
Tb927.1.3170	CHORD, putative	ZUnknown	1380
Tb927.1.3200	SGT1-like protein, putative	Chaperone	946
Tb927.1.3220	TBC-M likely GAP	Signalling	2362
Tb927.1.3230	cell division cycle protein, putative	Cell.cycle	2326
Tb927.1.3250	hypothetical protein, myosin heavy-chain like	Cytoskeleton	5788
Tb927.1.3260	hypothetical protein, conserved	ZUnknown	5798
Tb927.1.3270	hypothetical protein, conserved	ZUnknown	2838
Tb927.1.3280	septum formation protein MAF homologue, putative	ZUnknown	1102
Tb927.1.3290	hypothetical protein, conserved	ZUnknown	3127
Tb927.1.3300	myotubularin, putative,zinc-binding phosphatase, putative	Cytoskeleton	4289
Tb927.1.3310	hypothetical protein, conserved, no human or yeast homologue	ZUnknown	1364
Tb927.1.3320	leucine-rich repeat protein (LRRP)	LRRP	1773
Tb927.1.3350	hypothetical protein	ZUnknown	471
Tb927.1.3390	Eukaryotic protein of unknown function (DUF866), putative	ZUnknown	775
Tb927.1.3400	hypothetical protein, conserved	ZUnknown	1275
Tb927.1.3410	hypothetical protein, conserved	ZUnknown	1621
Tb927.1.3450	hypothetical protein, conserved	ZUnknown	2419
Tb927.1.3550	hypothetical protein	ZUnknown	1092
Tb927.1.3560	CEP164	Cytoskeleton	3400
Tb927.1.3670	ESAG8, putative	ESAG	2388
Tb927.1.3800	POMP18	Mito.membrane	619
Tb927.1.3810	hypothetical protein, conserved	ZUnknown	514
Tb927.1.3820	ATP synthase subunit, putative	Mito.e.transport	432
Tb927.1.3830	glucose-6-phosphate isomerase, glycosomal (PGI)	Glucose.glycerol	2275
Tb927.1.3840	hypothetical protein, conserved	ZUnknown	2232
Tb927.1.3850	Sec61 beta family and TM domain	Vesicular.transport	1090
Tb927.1.3860	hypothetical protein, conserved	ZUnknown	3925
Tb927.1.3880	Fusaric acid resistance protein-like, putative	ZUnknown	5725
Tb927.1.3890	hypothetical protein	ZUnknown	486
Tb927.1.3910	TPR repeat, putative	ZUnknown	2724
Tb927.1.3940	hypothetical protein, conserved	ZUnknown	3278
Tb927.1.3950	D-alanine aminotransferase (ALAT)	Mito.pathway	1676
Tb927.1.40	hypothetical protein	ZUnknown	327
Tb927.1.4010	TbPRI2, primase 2, kDNA replication	Mito.DNA	4233
Tb927.1.4020	hypothetical protein	ZUnknown	537
Tb927.1.4040	hypothetical protein, conserved	ZUnknown	1620
Tb927.1.4050	ser/thr protein phosphatase with EF-Hand domains (PPEF)	Protein.phosphatase	2897
Tb927.1.4100	cytochrome oxidase subunit IV (COXIV)	Mito.e.transport	1456
Tb927.1.4140	Protein of unknown function (DUF1448), putative	ZUnknown	1110
Tb927.1.4160	hypothetical protein, conserved	ZUnknown	835
Tb927.1.4180	leucine-rich repeat protein (LRRP)	LRRP	2570
Tb927.1.4220	Ydr279p,RNaseH2 domain like,Winged Helix DNA binding	RNA.degradation	1451
Tb927.1.4230	hypothetical protein, conserved	Mito.pathway	1291
Tb927.1.4250	hypothetical protein, conserved	ZUnknown	2373
Tb927.1.4280	hypothetical protein, conserved, African tryp specific, PTZ (tail-specific protease) domain	ZUnknown	4503
Tb927.1.4300	chaperone protein DNAj, putative	Chaperone	4558
Tb927.1.4310	FAZ2 flagellar attachment zone protein	Cytoskeleton	6240
Tb927.1.4340	hypothetical protein, conserved	ZUnknown	2151
Tb927.1.4370	Putative integral membrane protein conserved region (DUF2404), putative	ZUnknown	2839
Tb927.1.4380	Putative integral membrane protein conserved region (DUF2404), putative	ZUnknown	1858
Tb927.1.4400	hypothetical protein, conserved	ZUnknown	890
Tb927.1.4410	hypothetical protein, conserved	ZUnknown	2372
Tb927.1.4420	ABC transporter, putative	Transporter	2995
Tb927.1.4440	hypothetical protein, conserved	ZUnknown	636
Tb927.1.4450	Ion channel/Calcium-activated BK potassium channel alpha subunit, putative	ZUnknown	3504
Tb927.1.4470	hypothetical protein, conserved	ZUnknown	1814
Tb927.1.4480	WD repeat and HMG-box DNA-binding protein, putative	ZUnknown	5460
Tb927.1.4490	acetyltransferase, putative	Lipids	3001
Tb927.1.4500	SNARE associated Golgi protein, putative	ZUnknown	1371
Tb927.1.4520	Zinc finger, C3HC4 type (RING finger), putative	Zinc.finger	2731
Tb927.1.4540	cyclin-like F-box protein (CFB1A)	Ubiquitin.proteasome	1716
Tb927.1.4650	cyclin-like F-box protein (CFB2)	Ubiquitin.proteasome	1563
Tb927.1.4680	hypothetical protein, conserved	ZUnknown	1291
Tb927.1.4690	arginine N-methyltransferase (PRMT1)	Arg.methylation	1822
Tb927.1.4700	hypothetical protein, conserved	ZUnknown	1016
Tb927.1.4710	hypothetical protein, conserved	ZUnknown	685
Tb927.1.4720	SET domain containing protein, putative	ZUnknown	1896
Tb927.1.4730	Ribonuclease H2 non-catalytic subunit (Ylr154p-like), putative	ZUnknown	769
Tb927.1.4740	FAM91 N-terminus/FAM91 C-terminus, putative	ZUnknown	3239
Tb927.1.4760	Vacuolar sorting protein 39 domain 1/Vacuolar sorting protein 39 domain 2, putative	ZUnknown	3488
Tb927.1.4780	Alpha/beta hydrolase domain-containing protein	Protease	2051
Tb927.1.4800	hypothetical protein, conserved	ZUnknown	1623
Tb927.1.4830	Phospholipase A1	Lipids	1204
Tb927.1.4970	hypothetical protein	ZUnknown	477
Tb927.1.5000	hypothetical protein, conserved, possibly mitochondrial, no yeast or human match	Mito.pathway	1473
Tb927.1.5030	leucine-rich repeat protein (LRRP)	LRRP	2251
Tb927.1.5080	ESAG9, putative	ESAG	780
Tb927.1.5160	hypothetical protein	ZUnknown	285
Tb927.1.5180	hypothetical protein	ZUnknown	144
Tb927.1.5220	ESAG9, putative	ESAG	894
Tb927.1.5250	hypothetical protein	ZUnknown	177
Tb927.1.5260	hypothetical protein	ZUnknown	540
Tb927.1.560	WD domain, G-beta repeat, putative	ZUnknown	1479
Tb927.1.570	Histone-lysine N-methyltransferase, H3 lysine-76 specific (DOT1B)	Chromatin	1225
Tb927.1.580	phosphate-repressible phosphate permease, putative	Ions	2537
Tb927.1.610	hypothetical protein, conserved	ZUnknown	1124
Tb927.1.630	anti-silencing protein ASF1A	Chromatin	830
Tb927.1.650	conserved protein, unknown function	ZUnknown	810
Tb927.1.670	conserved protein, unknown function	ZUnknown	2068
Tb927.1.690	hypothetical protein, conserved	ZUnknown	835
Tb927.1.710	phosphoglycerate kinase (PGKB)	Glucose.glycerol	1511
Tb927.1.730	NADH-ubiquinone oxidoreductase complex I subunit, putative	Mito.pathway	1927
Tb927.1.740	phosphatidylinositol-4-phosphate 5-kinase related	Mito.pathway	2029
Tb927.1.760	wd40 repeat domain-containing protein	ZUnknown	2835
Tb927.1.780	leucine-rich repeat-containing protein	LRRP	1166
Tb927.1.790	hypothetical transmembrane protein, conserved	Mito.pathway	2691
Tb927.1.820	kelch domain-containing protein	ZUnknown	1620
Tb927.1.830	hypothetical protein, conserved	ZUnknown	2847
Tb927.1.840	transmembrane protein, putative	Mito.pathway	911
Tb927.1.860	transmembrane protein, putative	ZUnknown	938
Tb927.1.870	deoxyhypusine synthase, putative	Amino.acids	1455
Tb927.1.880	MDN1 homologue. Dynein-related AAA ATPase involved in pre-60S assembly and export	rRNA.tRNA.process	14535
Tb927.1.890	hypothetical protein, conserved	ZUnknown	927
Tb927.1.990	Enkuring domain-containig protein	ZUnknown	1139
Tb927.10.1000	hypothetical protein	ZUnknown	801
Tb927.10.10000	hypothetical protein, conserved	ZUnknown	2381
Tb927.10.10010	60S acidic ribosomal subunit	Ribosome	752
Tb927.10.10020	Vacuolar sorting protein 9 (VPS9) domain containing protein, putative	ZUnknown	2605
Tb927.10.10030	hypothetical protein, conserved	ZUnknown	754
Tb927.10.10040	hypothetical protein	ZUnknown	1010
Tb927.10.10050	hypothetical protein, conserved, 8 TM domains	ZUnknown	4338
Tb927.10.10070	hypothetical protein, conserved	ZUnknown	2881
Tb927.10.10080	hypothetical protein, conserved	ZUnknown	958
Tb927.10.10090	CMF14, possible component of motile flagella, TbTBC-L	Cytoskeleton	3681
Tb927.10.1010	hypothetical protein	ZUnknown	495
Tb927.10.10100	hypothetical protein, conserved	ZUnknown	3020
Tb927.10.10110	PIG-P, putative	ZUnknown	569
Tb927.10.10120	hypothetical protein, conserved	Mito.pathway	1816
Tb927.10.10130	mitochondrial RNA binding complex 1 subunit (MRB10130)	Mito.RNA	1813
Tb927.10.10140	paraflagellar rod protein PFC19	Cytoskeleton	1297
Tb927.10.10150	hypothetical protein, conserved	ZUnknown	2033
Tb927.10.10160	pentatricopeptide repeat domain containing protein, putative	Mito.pathway	1342
Tb927.10.10170	PRL1 / Prp46	RNA.processing	1388
Tb927.10.10180	Miro-like protein, putative	ZUnknown	1084
Tb927.10.10190	Homologue of GRR1, and F-box component of the SCF ubiquitin ligase complex.	Ubiquitin.proteasome	3039
Tb927.10.1020	hypothetical protein	ZUnknown	474
Tb927.10.10200	hypothetical protein, conserved, no yeast homologue.	ZUnknown	2363
Tb927.10.10210	procyclin-associated gene 4 (PAG4) protein (PAG4)	PAG	1122
Tb927.10.10220	procyclin-associated gene 2 (PAG2) protein (PAG2)	PAG	1257
Tb927.10.10230	procyclin-associated gene 5 (PAG5) protein (PAG5)	PAG	1113
Tb927.10.10250	EP2 procyclin	Membrane.protein	721
Tb927.10.10270	hypothetical protein	ZUnknown	2335
Tb927.10.10300	hypothetical protein, conserved	ZUnknown	2211
Tb927.10.10310	hypothetical protein, conserved. metallo protease like	ZUnknown	1731
Tb927.10.10320	dynein light chain, putative,dynein Tctex1 family, putative	Cytoskeleton	755
